region,region_label,candidate,seed_count,anchor_rmse_mean,anchor_rmse_min,anchor_rmse_max,final_ratio_mean,final_ratio_min,final_ratio_max,late_births_per_population_mean,score,birth_probability,carrying_capacity,pair_duration_mean,lifespan_mean,location_cluster_count,initial_pair_fraction
ssf,Sub-Saharan Africa,53,2,0.11344281860845554,0.10154139506273822,0.12534424215417284,3.0740427800208687,3.047872340425532,3.100213219616205,0.02255945,0.11344281860845554,0.44,7200.0,26.0,70.0,18,0.45
ssf,Sub-Saharan Africa,51,2,0.11503666049377051,0.11493245785032692,0.11514086313721411,3.089330407215491,3.085313174946004,3.0933476394849784,0.021720000000000003,0.11503666049377051,0.44,7200.0,18.0,78.0,18,0.45
ssf,Sub-Saharan Africa,59,2,0.11631627141379905,0.06849047595799929,0.1641420668695988,3.4303599905381805,3.364415862808146,3.4963041182682155,0.02648125,0.11631627141379905,0.44,12000.0,26.0,70.0,18,0.45
ssf,Sub-Saharan Africa,42,2,0.11775094481998985,0.1127049917255412,0.12279689791443851,3.076380785122529,3.0617551462621884,3.0910064239828694,0.022694150000000003,0.11775094481998985,0.36,20000.0,26.0,78.0,18,0.45
ssf,Sub-Saharan Africa,95,2,0.1191485133065696,0.09208660323613183,0.14621042337700738,3.3585128326741005,3.3411016949152543,3.3759239704329462,0.023647300000000003,0.1191485133065696,0.52,,26.0,70.0,18,0.45
ssf,Sub-Saharan Africa,50,2,0.14841233357472644,0.11345521641987726,0.18336945072957564,3.0288254774758423,2.9617021276595743,3.0959488272921107,0.02324175,0.14841233357472644,0.44,7200.0,18.0,70.0,18,0.45
ssf,Sub-Saharan Africa,96,2,0.15031934861236146,0.14963360429790626,0.1510050929268167,3.3819138699179385,3.3778256189451024,3.3860021208907742,0.022536849999999997,0.15031934861236146,0.52,,26.0,78.0,18,0.45
ssf,Sub-Saharan Africa,93,2,0.15477412618119105,0.11610909266967798,0.19343915969270412,3.3890173700726103,3.3347685683530677,3.443266171792153,0.0221957,0.15477412618119105,0.52,,18.0,78.0,18,0.45
ssf,Sub-Saharan Africa,41,2,0.15573337832086376,0.1149185679967482,0.19654818864497933,3.004299094556187,2.943496801705757,3.065101387406617,0.024229800000000003,0.15573337832086376,0.36,20000.0,26.0,70.0,18,0.45
ssf,Sub-Saharan Africa,64,2,0.15697200910547526,0.08752274684924811,0.22642127136170243,3.546011294765215,3.4197002141327624,3.672322375397667,0.029881450000000004,0.15697200910547526,0.44,20000.0,26.0,62.0,18,0.45
ssf,Sub-Saharan Africa,56,2,0.1697219076888118,0.13584775327388832,0.20359606210373526,3.5075592693574,3.4512325830653805,3.563885955649419,0.02638485,0.1697219076888118,0.44,12000.0,18.0,70.0,18,0.45
ssf,Sub-Saharan Africa,57,2,0.17456069259044968,0.15942109252793207,0.18970029265296728,3.4946638207043756,3.4663820704375667,3.5229455709711845,0.025039850000000002,0.17456069259044968,0.44,12000.0,18.0,78.0,18,0.45
ssf,Sub-Saharan Africa,60,2,0.18723868300155808,0.13856910426707045,0.2359082617360457,3.545891141942369,3.4738527214514408,3.617929562433298,0.026282450000000002,0.18723868300155808,0.44,12000.0,26.0,78.0,18,0.45
ssf,Sub-Saharan Africa,71,2,0.19211930982464323,0.15905052268927775,0.22518809696000872,2.917004848979222,2.8648936170212767,2.9691160809371673,0.02120665,0.19211930982464323,0.44,,26.0,70.0,18,0.45
ssf,Sub-Saharan Africa,69,2,0.1992924027423396,0.157227865740413,0.24135693974426625,2.9039259262692463,2.8196544276457884,2.9881974248927037,0.0192112,0.1992924027423396,0.44,,18.0,78.0,18,0.45
